Player,Ratings,Salaries,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,2P,2PA,2P_perc,eFG,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Nicolas Claxton,72,"$898,310",PF,20,BRK,15,0,12.5,1.8,3.2,0.563,0.1,0.5,0.143,1.7,2.7,0.634,0.573,0.7,1.4,0.524,1.3,1.7,2.9,1.1,0.1,0.5,0.6,0.9,4.4
Chandler Hutchison,72,"$2,332,320",SF,23,CHI,28,10,18.8,2.9,6.3,0.457,0.4,1.4,0.316,2.4,4.9,0.496,0.491,1.6,2.8,0.59,0.6,3.2,3.9,0.9,1,0.3,1,1.7,7.8
Ryan Arcidiacono,72,"$3,000,000",PG,25,CHI,58,4,16,1.6,3.8,0.409,0.9,2.4,0.391,0.6,1.4,0.439,0.532,0.5,0.7,0.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5
Alfonzo McKinnie,72,"$2,391,985",SF,27,CLE,40,1,14.8,1.8,4.3,0.427,0.4,1.6,0.215,1.5,2.7,0.557,0.468,0.6,0.8,0.71,0.9,1.9,2.8,0.4,0.6,0.2,0.7,1.8,4.6
Ryan Broekhoff,72,"$1,416,852",SG,29,DAL,17,1,10.6,1.3,3.5,0.373,1.2,3,0.392,0.1,0.5,0.25,0.542,0.4,0.5,0.875,0.3,2.2,2.5,0.6,0.3,0.2,0.4,0.9,4.2
Courtney Lee,72,"$12,759,670",SG,34,DAL,24,9,14.4,1.7,3.4,0.488,0.9,2,0.447,0.8,1.5,0.543,0.616,0.3,0.3,0.857,0.3,1,1.3,0.5,0.8,0.3,0.5,1.4,4.5
Tim Frazier,72,"$1,620,564",PG,29,DET,27,11,13.1,1.3,3.5,0.362,0.4,1.1,0.333,0.9,2.4,0.375,0.415,0.7,0.9,0.792,0.3,0.9,1.2,3.4,0.5,0.1,1.3,1.6,3.6
Thon Maker,72,"$3,569,643",C,22,DET,60,14,12.9,1.6,3.2,0.482,0.4,1.1,0.344,1.2,2.2,0.55,0.539,1.2,1.8,0.664,0.9,1.9,2.8,0.7,0.4,0.7,0.8,1.7,4.7
Langston Galloway,72,"$7,333,333",SG,28,DET,66,6,25.8,3.6,8.2,0.435,2,5,0.399,1.6,3.2,0.493,0.557,1.1,1.3,0.859,0.5,1.8,2.3,1.5,0.7,0.2,0.6,1.5,10.3
Goga Bitadze,72,"$15,643,750",C,20,IND,49,2,8.4,1.2,2.6,0.473,0.1,0.7,0.167,1.1,1.9,0.591,0.496,0.5,0.7,0.727,0.4,1.5,2,0.4,0.1,0.7,0.5,1.2,3.1
Justin Holiday,72,"$2,816,760",SG,30,IND,65,2,24.9,2.9,6.6,0.44,1.9,4.4,0.424,1,2.2,0.472,0.581,0.7,0.9,0.78,0.5,2.7,3.2,1.3,1.2,0.6,0.6,1.8,8.4
Rodney McGruder,72,"$4,767,000",SG,28,LAC,50,3,15,1.2,3.1,0.391,0.4,1.6,0.278,0.8,1.5,0.506,0.462,0.3,0.6,0.536,0.5,2,2.6,0.6,0.5,0.2,0.4,1.3,3.2
Jared Dudley,72,"$4,807,693",SF,34,LAL,40,1,7.8,0.5,1.3,0.4,0.4,0.9,0.471,0.1,0.4,0.25,0.56,0.1,0.1,1,0.1,1,1.1,0.5,0.3,0.1,0.2,0.9,1.5
De'Anthony Melton,72,"$2,564,753",PG,21,MEM,52,8,19.4,2.8,6.8,0.419,0.7,2.3,0.316,2.1,4.5,0.47,0.472,1.7,2,0.821,0.7,3,3.7,3,1.3,0.3,1.5,1.8,8.1
Grayson Allen,72,"$1,416,852",SG,24,MEM,30,0,16.6,2.6,5.9,0.449,1.1,3,0.363,1.5,2.8,0.541,0.543,1,1.2,0.857,0.2,2,2.2,1.4,0.2,0,0.8,1.2,7.4
Anthony Tolliver,72,"$2,429,400",PF,34,MEM,5,0,19.2,1.6,4.2,0.381,1.4,3.4,0.412,0.2,0.8,0.25,0.548,0.8,0.8,1,0.2,2.2,2.4,0.2,0.6,0.2,1,0.8,5.4
Donte DiVincenzo,72,"$2,564,753",SG,23,MIL,59,22,23.1,3.5,7.7,0.462,1.3,3.7,0.344,2.3,3.9,0.576,0.546,1,1.3,0.769,1,3.9,4.9,2.3,1.4,0.3,1.2,1.6,9.4
Kenrich Williams,72,"$2,564,753",PF,25,NOP,35,18,22.3,1.4,4.1,0.343,0.7,2.7,0.26,0.7,1.3,0.511,0.43,0.3,0.7,0.375,1.4,3.7,5.1,1.5,0.7,0.6,0.6,2.3,3.8
Nickeil Alexander-Walker,72,"$2,905,800",SG,21,NOP,41,0,12.2,1.9,5.5,0.339,1,2.9,0.342,0.9,2.7,0.336,0.427,0.4,0.7,0.607,0.2,1.8,2,1.8,0.3,0.2,1,1.1,5.1
Michael Carter-Williams,72,"$1,416,852",SG,28,ORL,42,0,18.4,2.5,5.8,0.434,0.5,1.6,0.294,2,4.1,0.489,0.475,1.7,2.1,0.828,1,2.3,3.3,2.4,1.1,0.5,1.1,1.9,7.2
Wesley Iwundu,72,"$2,964,840",SF,25,ORL,45,18,18,1.7,4.3,0.397,0.5,1.5,0.313,1.2,2.8,0.441,0.451,1.4,1.7,0.816,0.5,2,2.5,1,0.6,0.2,0.4,1.4,5.3
Zhaire Smith,72,"$2,028,594",SG,20,PHI,7,0,4.6,0.4,1.6,0.273,0,0.4,0,0.4,1.1,0.375,0.273,0.3,0.6,0.5,0,0.3,0.3,0.3,0.4,0,0.3,0.6,1.1
Matisse Thybulle,72,"$1,618,520",SG,22,PHI,57,13,19.5,1.7,4.1,0.41,0.9,2.5,0.352,0.8,1.6,0.5,0.517,0.4,0.7,0.61,0.6,0.9,1.5,1.2,1.4,0.7,0.8,2.1,4.7
Raul Neto,72,"$3,058,800",PG,27,PHI,49,3,11.5,1.6,3.6,0.451,0.6,1.4,0.394,1,2.1,0.49,0.531,0.5,0.6,0.839,0.2,0.8,1.1,1.6,0.4,0.1,0.9,0.9,4.3
Ty Jerome,72,"$2,582,160",PG,22,PHO,28,0,11.3,1.3,3.8,0.349,0.5,1.7,0.277,0.9,2.1,0.407,0.41,0.4,0.5,0.786,0.2,1.3,1.5,1.5,0.5,0.1,0.6,1,3.5
Cameron Johnson,72,"$1,737,145",PF,23,PHO,49,1,20.3,2.8,6.6,0.418,1.9,4.7,0.397,0.9,2,0.469,0.558,0.7,0.9,0.761,0.8,2.1,2.9,1.1,0.6,0.3,0.6,1.5,8.1
Anfernee Simons,72,"$2,193,480",SG,20,POR,65,4,21.5,3.2,8.1,0.402,1.1,3.4,0.338,2.1,4.7,0.448,0.472,1.2,1.4,0.826,0.4,1.9,2.3,1.5,0.4,0.2,0.9,2,8.8
Keldon Johnson,72,"$4,033,440",SF,20,SAS,9,0,10.2,1.8,3.4,0.516,0.2,0.6,0.4,1.6,2.9,0.538,0.548,0.8,1.1,0.7,0.6,1.3,1.9,0.7,0.6,0.1,0.3,1,4.6
Patrick McCaw,72,"$2,487,033",SF,24,TOR,37,12,24.5,1.8,4.4,0.414,0.6,1.9,0.324,1.2,2.5,0.484,0.485,0.4,0.5,0.722,0.5,1.8,2.3,2.1,1.1,0.1,0.8,1.6,4.6
Matt Thomas,72,"$2,149,560",SG,25,TOR,33,0,9.7,1.6,3.4,0.486,1.1,2.3,0.467,0.6,1.1,0.528,0.644,0.2,0.3,0.7,0.2,1.2,1.5,0.5,0.2,0,0.4,0.9,4.5
Anthony Tolliver,72,"$1,950,600",PF,34,MEM,47,9,15.6,1.1,3.3,0.348,0.8,2.6,0.322,0.3,0.7,0.441,0.474,0.4,0.5,0.72,0.6,2.2,2.8,0.7,0.3,0.2,0.6,1.4,3.5
Brandon Knight,72,"$4,000,000",PG,28,DET,25,3,18.5,2.4,6.7,0.353,1.8,5.2,0.344,0.6,1.4,0.389,0.488,0.8,1.4,0.588,0.2,1.5,1.6,2.8,0.4,0.1,1.5,1.6,7.3
Troy Daniels,72,"$898,310",SG,28,PHO,42,0,10.9,1.5,3.8,0.39,1,2.7,0.354,0.5,1.1,0.478,0.516,0.2,0.4,0.625,0.3,0.8,1.1,0.3,0.2,0.1,0.2,0.7,4.1
Georges Niang,72,"$1,645,357",PF,26,UTA,58,0,13.3,2.1,4.6,0.453,1.3,3.2,0.416,0.7,1.4,0.538,0.598,0.3,0.4,0.864,0.2,1.7,1.9,0.6,0.2,0.1,0.4,1.1,5.8
Bruno Fernando,71,"$1,400,000",C,21,ATL,56,13,12.7,1.8,3.6,0.518,0.1,0.7,0.135,1.8,2.9,0.605,0.53,0.5,0.9,0.569,1.2,2.3,3.5,0.9,0.3,0.3,0.8,1.9,4.3
Carsen Edwards,71,"$1,645,357",SG,21,BOS,35,0,9,1.1,3.2,0.327,0.6,1.9,0.309,0.5,1.3,0.356,0.42,0.3,0.4,0.846,0.2,1.1,1.2,0.6,0.3,0.1,0.4,0.9,3
Luke Kornet,71,"$1,228,026",C,24,CHI,36,14,15.5,2.3,5.2,0.439,0.9,3,0.287,1.4,2.2,0.646,0.521,0.6,0.8,0.714,0.6,1.7,2.3,0.9,0.3,0.7,0.4,1.5,6
Daniel Gafford,71,"$2,250,000",C,21,CHI,43,7,14.2,2.2,3.1,0.701,0,0,,2.2,3.1,0.701,0.701,0.7,1.4,0.533,1.2,1.3,2.5,0.5,0.3,1.3,0.7,2.3,5.1
Eric Paschall,71,"$898,310",PF,23,GSW,60,26,27.6,5.3,10.7,0.497,0.6,2.2,0.287,4.7,8.5,0.55,0.526,2.7,3.5,0.774,1.4,3.2,4.6,2.1,0.5,0.2,1.6,2.1,14
Ben McLemore,71,"$898,310",SG,26,HOU,63,19,22.8,3.3,7.5,0.445,2.4,6.2,0.395,0.9,1.3,0.688,0.609,0.7,1,0.758,0.3,1.9,2.2,0.9,0.6,0.2,0.7,2.1,9.8
JaKarr Sampson,71,"$2,028,594",SF,26,IND,26,10,13.1,1.8,3.1,0.593,0.1,0.5,0.154,1.8,2.6,0.676,0.605,0.4,0.8,0.55,0.6,1.7,2.3,0.3,0.3,0.3,0.3,1.7,4.2
Edmond Sumner,71,"$1,737,145",PG,24,IND,25,2,13.8,1.9,4.4,0.423,0.4,1.5,0.263,1.5,2.9,0.507,0.468,0.4,0.6,0.667,0.4,1.1,1.5,1.6,0.6,0.3,0.8,1.4,4.6
KZ Okpala,71,"$2,000,000",SF,20,MIA,5,0,5.2,0.6,1,0.6,0,0.2,0,0.6,0.8,0.75,0.6,0.2,0.4,0.5,0.2,0.8,1,0.2,0.4,0.2,0.2,0.4,1.4
Frank Jackson,71,"$898,310",PG,21,NOP,51,1,12.9,1.9,5,0.385,0.8,2.4,0.325,1.2,2.7,0.438,0.461,0.9,1.3,0.75,0.4,1,1.4,0.8,0.3,0.1,0.8,1.3,5.6
Terrance Ferguson,71,"$1,925,880",SF,21,OKC,50,37,23.4,1.5,4,0.372,0.9,3.1,0.297,0.6,0.9,0.636,0.487,0.3,0.4,0.789,0.5,1,1.5,0.9,0.5,0.3,0.6,2.9,4.2
Shake Milton,71,"$1,618,520",SG,23,PHI,32,16,19.1,3.4,6.8,0.498,1.5,3.3,0.453,1.9,3.5,0.541,0.608,1.2,1.6,0.765,0.3,1.8,2.1,2.2,0.6,0.2,1.2,2.2,9.5
Elie Okobo,71,"$2,475,840",PG,22,PHO,54,3,13.1,1.3,3.4,0.398,0.5,1.3,0.352,0.9,2,0.427,0.467,0.9,1.2,0.687,0.3,1.3,1.6,2.1,0.4,0.1,0.7,1,4
Jevon Carter,71,"$1,445,697",PG,24,PHO,50,2,15.1,1.6,4.1,0.4,0.9,2.3,0.393,0.7,1.8,0.409,0.512,0.4,0.5,0.84,0.5,1.5,2,1.3,0.8,0.3,0.6,1.5,4.6
Chimezie Metu,71,"$1,416,852",PF,22,SAS,16,0,4.6,1.3,2.2,0.571,0,0.1,0,1.3,2.1,0.588,0.571,0.4,0.5,0.75,0.6,1,1.6,0.4,0.1,0.3,0.3,0.3,2.9
Chris Boucher,71,"$1,416,852",PF,27,TOR,55,0,13.2,2.2,4.7,0.458,0.5,1.8,0.283,1.7,2.9,0.565,0.512,1.5,1.9,0.796,1.7,2.7,4.4,0.4,0.4,1,0.4,1.9,6.3
Treveon Graham,71,"$1,416,852",SG,26,ATL,55,20,16.9,1.6,4.4,0.36,0.6,2.2,0.275,1,2.2,0.443,0.428,0.7,1,0.643,0.9,1.8,2.7,0.8,0.4,0.1,0.5,1.9,4.4
Jerome Robinson,71,"$1,588,231",SG,22,WAS,55,4,13.6,1.4,3.9,0.347,0.6,1.9,0.298,0.8,2,0.393,0.419,0.4,0.5,0.69,0.2,1.8,1.9,1.2,0.4,0.3,0.6,1.5,3.7
Jacob Evans,71,"$3,567,720",SG,22,MIN,29,1,14.4,1.6,4.6,0.336,0.4,1.3,0.333,1.1,3.3,0.337,0.384,0.9,1,0.862,0.3,1.1,1.4,1.1,0.4,0.4,0.9,1.4,4.4
Admiral Schofield,71,"$1,000,000",SF,22,WAS,27,2,10.9,1.1,2.8,0.4,0.5,1.7,0.298,0.6,1,0.571,0.493,0.3,0.5,0.692,0.2,1,1.3,0.5,0.3,0.1,0.3,1.5,3.1
Moritz Wagner,71,"$2,063,520",C,22,WAS,37,5,19.1,3.5,6.2,0.575,0.6,1.8,0.343,2.9,4.4,0.671,0.625,1.8,2.2,0.817,1.4,3.8,5.2,1.3,0.6,0.5,1.5,3.6,9.5
Sviatoslav Mykhailiuk,70,"$1,416,852",SF,22,DET,56,27,22.6,3,7.2,0.41,2.1,5.1,0.404,0.9,2.1,0.425,0.552,1,1.3,0.814,0.3,1.6,1.9,1.9,0.7,0.1,1.1,1.6,9
Jordan Poole,70,"$1,416,852",SG,20,GSW,57,14,22.4,2.9,8.8,0.333,1.3,4.6,0.279,1.6,4.2,0.392,0.406,1.7,2.1,0.798,0.2,1.9,2.1,2.4,0.6,0.2,1.3,1.6,8.8
Alize Johnson,70,"$1,416,852",SF,23,IND,13,0,4.2,0.5,1.2,0.467,0,0,,0.5,1.2,0.467,0.467,0.3,0.5,0.667,0.5,0.8,1.4,0.2,0,0,0.2,0.5,1.4
Johnathan Motley,70,"$1,964,760",PF,24,LAC,13,0,3.2,0.8,1.2,0.733,0.1,0.1,1,0.8,1.1,0.714,0.767,0.4,0.5,0.714,0.2,0.5,0.8,0.6,0.2,0,0.4,0.5,2.2
Talen Horton-Tucker,70,"$1,416,852",SG,19,LAL,2,0,2.5,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0,0,1,0.5,0,0,0,0
Thanasis Antetokounmpo,70,"$79,568",SF,27,MIL,18,2,5.2,1.1,2,0.528,0,0.4,0,1.1,1.6,0.655,0.528,0.4,0.8,0.467,0.6,0.4,1.1,0.5,0.3,0.1,0.6,0.7,2.5
Naz Reid,70,"$898,310",C,20,MIN,30,11,16.5,3.3,8.1,0.412,1.1,3.2,0.33,2.3,4.9,0.466,0.477,1.2,1.8,0.698,1.1,3,4.1,1.2,0.6,0.7,0.7,2.8,9
Ignas Brazdeikis,70,"$13,290,395",SF,21,NYK,9,0,5.9,0.7,2.4,0.273,0.1,1,0.111,0.6,1.4,0.385,0.295,0.4,0.6,0.8,0.2,0.3,0.6,0.4,0,0.1,0.2,0.3,1.9
Hamidou Diallo,70,"$1,445,697",SF,21,OKC,38,3,18.4,2.6,5.8,0.452,0.2,0.9,0.2,2.4,4.8,0.5,0.468,0.7,1.2,0.622,0.8,2.4,3.2,0.6,0.7,0.2,1,2.2,6.1
Deonte Burton,70,"$898,310",SG,26,OKC,34,0,8.4,1.1,3.1,0.371,0.3,1.4,0.217,0.9,1.7,0.492,0.419,0.2,0.4,0.5,0.2,1.2,1.4,0.3,0.1,0.3,0.4,0.8,2.8
Darius Bazley,70,"$898,310",PF,19,OKC,53,8,17.2,1.7,4.3,0.383,0.6,1.9,0.3,1.1,2.5,0.446,0.448,0.6,0.9,0.681,0.4,3.3,3.7,0.5,0.4,0.7,0.8,0.8,4.5
Abdel Nader,70,"$1,416,852",SF,26,OKC,48,5,15.8,2.1,4.6,0.455,0.8,2.2,0.371,1.3,2.4,0.53,0.543,1,1.3,0.774,0.3,1.6,1.9,0.7,0.4,0.4,0.8,1.4,6
Melvin Frazier,70,"$1,416,852",SG,23,ORL,15,0,3.4,0.4,1.1,0.353,0.3,0.5,0.571,0.1,0.7,0.2,0.471,0.1,0.3,0.5,0.1,0.2,0.3,0.1,0.3,0.1,0.2,0.5,1.2
Justin James,70,"$2,284,800",SG,23,SAC,34,0,6.4,1,2.3,0.423,0.3,0.8,0.346,0.7,1.5,0.462,0.481,0.3,0.6,0.476,0.2,0.7,0.9,0.5,0.2,0.3,0.2,0.5,2.5
Caleb Swanigan,70,"$1,618,520",PF,22,POR,27,1,10.7,1,1.7,0.596,0,0.1,0,1,1.7,0.622,0.596,0.3,0.6,0.529,1,2.7,3.7,1.1,0.1,0.3,1.4,2.3,2.4
Jarred Vanderbilt,70,"$1,416,852",SF-PF,20,DEN,11,0,4.2,0.5,0.7,0.625,0,0.1,0,0.5,0.6,0.714,0.625,0.2,0.2,1,0.3,0.5,0.8,0.2,0.3,0.1,0.6,0.5,1.1
Keita Bates-Diop,70,"$2,033,160",SF,24,DEN,39,0,17.1,2.3,5.3,0.428,0.8,2.4,0.33,1.5,2.9,0.509,0.502,1.3,1.8,0.71,0.5,2.3,2.9,0.8,0.4,0.5,0.4,1,6.6
Solomon Hill,70,"$898,310",SF,28,MEM,54,4,18.4,1.9,4.6,0.403,1.1,2.9,0.378,0.8,1.7,0.446,0.522,0.6,0.8,0.714,0.5,2.4,2.9,1.8,0.7,0.2,0.9,1.4,5.4
Tony Bradley,70,"$1,962,360",C,22,UTA,50,2,10.7,2.1,3.1,0.665,0,0,1,2,3.1,0.662,0.668,0.5,0.8,0.65,1.8,2.5,4.3,0.3,0.2,0.5,0.5,2,4.7
Tyrone Wallace,69,"$502,491",SG,25,ATL,14,0,11.4,1,3.1,0.318,0.1,1.1,0.067,0.9,2.1,0.448,0.33,0.8,1.2,0.647,0.2,1.4,1.6,0.9,0.5,0.1,0.7,1.4,2.9
Henry Ellenson,69,"$79,568",PF,23,BRK,5,0,3,0.2,1.4,0.143,0,0.8,0,0.2,0.6,0.333,0.143,0,0,,0.4,0.8,1.2,0.2,0,0,0,0.2,0.4
Theo Pinson,69,"$1,445,697",SG,24,BRK,33,0,11.1,1.4,4.7,0.29,0.5,2.4,0.188,0.9,2.3,0.4,0.339,0.5,0.5,0.938,0.3,1.3,1.6,1.7,0.5,0.1,1,1.1,3.6
Khyri Thomas,69,"$1,416,852",SG,23,DET,8,0,7.6,0.6,2.1,0.294,0.6,1.8,0.357,0,0.4,0,0.441,0.3,0.5,0.5,0.1,0,0.1,0.4,0.4,0,0.4,1.1,2.1
Terance Mann,69,"$1,000,000",SG,23,LAC,35,6,7.7,0.6,1.5,0.407,0.1,0.3,0.25,0.5,1.2,0.452,0.435,0.3,0.3,0.75,0.1,0.8,0.9,1.1,0.2,0.1,0.4,1,1.6
Amile Jefferson,69,"$1,529,007",PF,26,ORL,18,0,4.1,0.3,0.8,0.357,0,0,,0.3,0.8,0.357,0.357,0.3,0.8,0.357,0.6,0.7,1.3,0.2,0.1,0.2,0.2,0.4,0.8
Malcolm Miller,69,"$1,427,191",SF,26,TOR,25,1,5,0.3,1,0.333,0.2,0.8,0.316,0.1,0.2,0.4,0.458,0,0.2,0.167,0,0.5,0.6,0.3,0.2,0.1,0.1,0.5,0.9
Gary Clark,69,"$1,588,231",PF,25,ORL,35,1,12.1,1.1,2.9,0.376,0.8,2.5,0.326,0.3,0.4,0.667,0.515,0.2,0.3,0.889,0.8,1.7,2.4,0.4,0.1,0.4,0.1,0.9,3.2
Miye Oni,69,"$898,310",SG,22,UTA,5,0,2.2,0,0.4,0,0,0.2,0,0,0.2,0,0,0,0,,0,0.4,0.4,0,0,0,0.2,0,0
Brandon Goodwin,68,"$522,738",PG,24,ATL,34,1,12.6,2.2,5.6,0.4,0.8,2.6,0.299,1.5,3,0.485,0.468,0.8,0.9,0.933,0.3,1.8,2.1,1.5,0.4,0.1,0.9,1.3,6.1
Isaiah Hartenstein,68,"$1,254,933",C,21,HOU,23,2,11.6,1.9,2.9,0.657,0,0.2,0,1.9,2.7,0.71,0.657,0.8,1.2,0.679,1.3,2.7,3.9,0.8,0.4,0.5,0.7,1.8,4.7
Michael Frazier,68,"$1,416,852",SG,25,HOU,8,0,8.3,0.5,1.4,0.364,0.3,1,0.25,0.3,0.4,0.667,0.455,0.5,0.8,0.667,0.1,0.3,0.4,0.1,0.3,0,0.3,1.6,1.8
Kostas Antetokounmpo,68,"$79,568",PF,22,LAL,3,0,1.7,0,0,,0,0,,0,0,,,0,0,,0,0.3,0.3,0.3,0,0,0,0,0
Jalen Lecque,68,"$79,568",PG,19,PHO,4,0,6.5,1,2.5,0.4,0,1,0,1,1.5,0.667,0.4,0.5,0.5,1,0,0,0,0.5,0,0,0.3,0.5,2.5
Jordan McRae,68,"$898,310",SG,28,DET,37,4,21.2,4,9.9,0.407,1.2,3.4,0.357,2.8,6.5,0.433,0.469,2.2,2.9,0.761,0.5,2.9,3.4,2.5,0.6,0.4,1.2,2,11.5
Isaac Bonga,68,"$1,416,852",SF,20,WAS,58,41,17.7,1.7,3.2,0.522,0.4,0.9,0.4,1.3,2.2,0.574,0.582,0.9,1.1,0.813,1.1,2.1,3.2,1.1,0.6,0.4,0.7,2.3,4.6
Duncan Robinson,67,"$1,416,852",SF,25,MIA,65,60,30,4.4,9.4,0.467,3.7,8.4,0.448,0.7,1.1,0.614,0.665,0.7,0.8,0.906,0.1,3.1,3.3,1.4,0.5,0.2,0.9,2.8,13.3